식당(ID),식당명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점,식당상태
11831,자연애,,,,N,0.1,,,,,미확인
104404,정숙포차,전라북도 전주시,,0.1,Y,0.08,0.33,,,4.42,운영중
104408,일송,전라북도 전주시,,0.09,Y,0.23,0.33,,,4.21,운영중
104425,녹색불고기,전라북도 전주시,,0.1,Y,0.1,0.02,,,4.64,운영중
104428,다원추어탕,전라북도 전주시,,,Y,0.25,0.22,,,4.37,운영중
104431,육회랑 낙지랑,전라북도 전주시,,0.1,Y,0.23,0.03,,,4.5,운영중
104444,수니네,전라북도 전주시,,0.1,Y,0.1,0.22,,,4.3,운영중
104447,酒한장,전라북도 전주시,,0.1,Y,0.09,0.33,,,4.68,운영중
104771,크라운호프 전주송천1가점,,,,N,0.07,,,,,미확인
105596,맥주마트,,,,N,0.07,,,,,미확인
105969,박중근쟁반짜장,,,,N,0.1,,,,,폐업
107709,인생막장,,,,N,0.09,,,,,미확인
108370,자갈치식당 완산점,,,,N,0.07,,,,,미확인
109813,오빠돼지,,,,N,0.07,,,,,미확인
110153,모루,,,,N,0.14,,,,,운영중
112193,옴그족발,,,,N,0.14,,,,3.3,운영중
112337,이삭토스트 전주신시가지점,,,,N,0.1,,,,,미확인
112631,공수간 전주덕진점,,,,N,0.04,,,,,미확인
114274,"카페, 이가",,,,N,0.09,,,,,운영중
114389,소춘,,,,N,0.07,,,,,폐업
116730,풀꽃,,,,N,0.09,,,,,폐업
117659,풍년제과,,,,N,0.08,,,,,미확인
117987,멘야케이 류죠점,,,,N,0.09,,,,2.25,폐업
118762,웰미가 ,전라북도 전주시,,0.1,Y,0.1,0.03,,,4.35,운영중
118763,원조마포구이평화점,전라북도 전주시,,0.1,Y,0.08,0.08,,,4.31,운영중
118772,한울정육식당,전라북도 전주시,,0.1,Y,0.14,0.03,,,4.32,운영중
118784,오시는날,전라북도 전주시,,0.09,Y,0.1,0.12,,,4.2,운영중
4995,피자브릭,전라북도 전주시,,0.1,Y,0.16,0.33,,,4.41,운영중
118794,맛있게 매운손맛,전라북도 전주시,,0.09,Y,0.1,,,,4.22,운영중
118796,짱가네,전라북도 전주시,,0.1,Y,0.21,0.01,,,4.33,운영중
12147,동보성,전라북도 전주시,,0.09,Y,0.11,0.13,,,4.12,운영중
118805,각시명품한돈정육식당,전라북도 전주시,,0.09,Y,0.07,0.01,,,4.09,운영중
12985,세븐테라스,,,,N,0.08,,,,,운영중
118809,자매식당,전라북도 전주시,,0.1,Y,0.1,0.1,,,4.5,운영중
118812,해초냉면,전라북도 전주시,,0.1,Y,0.24,0.33,,,4.28,운영중
118813,여수수산,전라북도 전주시,,0.1,Y,0.09,0.33,,,4.29,운영중
118814,신여인천하,전라북도 전주시,,0.09,Y,0.08,0.02,,,4.25,운영중
118815,신동명각,전라북도 전주시,,0.09,Y,0.1,,,,3.96,운영중
118824,옛날시골찐빵,전라북도 전주시,,0.1,Y,0.09,0.27,,,4.36,운영중
118826,베를린가맥,전라북도 전주시,,0.1,Y,0.1,,,,4.5,운영중
118834,엘가커피,전라북도 전주시,,0.1,Y,0.13,0.03,,,4.56,운영중
118840,장판집,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.37,운영중
118893,짜장나라,전라북도 전주시,,0.1,Y,0.09,0.09,,,4.33,운영중
118903,채선당 아중점,전라북도 전주시,"모범음식점,안심식당",0.09,Y,0.18,0.33,,,4.18,운영중
118904,대게나라 아중점,전라북도 전주시,"모범음식점,안심식당",0.1,Y,0.15,0.33,,,4.36,운영중
118908,김이수아궁이,전라북도 전주시,,0.1,Y,0.08,0.28,,,4.41,운영중
2999,비공식,,,,N,0.07,,,,0.68,미확인
120205,롯데리아 전북대점,,,,N,0.07,,,,,운영중
120815,연어삼총사,,,,N,0.08,,,,,폐업
120911,장미맨숀,,,,N,0.1,,,,,운영중
121063,굽네치킨 서부신시가지점,,,,N,0.07,,,,,운영중
122398,빅원치킨 전주서신점,,,,N,0.07,,,,,미확인
122892,치킨플러스 전주송천점,,,,N,0.07,,,,,운영중
123754,마카롱,,,,N,0.13,,,,,폐업
124634,피플레이트,,,,N,0.1,,,,5,운영중
125234,한돈갈비찜에반하다 송천점,,,,N,0.04,,,,,미확인
126068,풍남문비빔밥,,,,N,0.09,,,,,미확인
126438,갯벌애꼬막 송천점,,,,N,0.09,,,,,미확인
128940,공룡삼겹살,,,,N,0.09,,,,,미확인
131565,호랑이 밥집,,,,N,0.1,,,,0.56,운영중
133151,a cup a day,,,,N,0.15,,,,,운영중
133218,풍성한 짜글이 앤 삼겹살,,,,N,0.1,,,,,운영중
134856,차반가가,,,,N,0.12,,,,,운영중
134907,이대감집,전라북도 전주시,,0.1,Y,0.14,0.33,,,4.4,운영중
14420,수쿠수쿠샤브와족발,,,,N,0.07,,,,,폐업
134914,늘버들식당,전라북도 전주시,,0.1,Y,0.23,0.02,,,4.38,운영중
134918,순동이네,전라북도 전주시,,0.1,Y,0.09,0.06,,,4.35,운영중
134921,아서원,전라북도 전주시,,0.09,Y,0.26,0.04,,,4.23,운영중
134922,신행복한밥상,전라북도 전주시,,0.1,Y,0.26,0.13,,,4.29,운영중
134930,선우,전라북도 전주시,,0.1,Y,0.08,0.07,,,4.3,운영중
